flops,data_num,img_size,model_param_num,total_data_inference_time
14,1,640,9142496,0.05945289673311281
14,2,640,9142496,0.1307352458182469
14,3,640,9142496,0.20166493756354464
14,4,640,9142496,0.26531673734165917
14,5,640,9142496,0.3390198045208981
14,6,640,9142496,0.4085928003239424
14,7,640,9142496,0.47849650632054225
14,8,640,9142496,0.5439579814901784
14,9,640,9142496,0.607757365915627
14,10,640,9142496,0.681903855033108
14,11,640,9142496,0.7506055574703868
14,12,640,9142496,0.8135413221483381
14,13,640,9142496,0.8826975520023046
14,14,640,9142496,0.9565172842353244
14,15,640,9142496,1.0200048990265809
14,16,640,9142496,1.0891079453337873
14,17,640,9142496,1.1617695653622262
14,18,640,9142496,1.2319176508341758
14,19,640,9142496,1.2924375579197898
14,20,640,9142496,1.369863445553698
14,21,640,9142496,1.439017008541513
14,22,640,9142496,1.4980743793577926
14,23,640,9142496,1.5691651281109231
14,24,640,9142496,1.6366317486885174
14,25,640,9142496,1.7100717285479838
14,26,640,9142496,1.7747848222485116
14,27,640,9142496,1.845431580830364
14,28,640,9142496,1.9110514823296605
14,29,640,9142496,1.984793068283782
14,30,640,9142496,2.054503570276026
14,31,640,9142496,2.1158792426383415
14,32,640,9142496,2.1882552484592814
14,33,640,9142496,2.2528400327802953
14,34,640,9142496,2.328916800689421
14,35,640,9142496,2.393381801631614
14,36,640,9142496,2.4630521184598577
14,37,640,9142496,2.528811786234329
14,38,640,9142496,2.600680035378524
14,39,640,9142496,2.6709695006186607
14,40,640,9142496,2.7379994287000144
14,41,640,9142496,2.8068418360879344
14,42,640,9142496,2.869659286213888
14,43,640,9142496,2.9426568249933265
14,44,640,9142496,3.0118772223551797
14,45,640,9142496,3.0834450523844006
14,46,640,9142496,3.1463944881994226
14,47,640,9142496,3.217363845721857
14,48,640,9142496,3.285750086293534
14,49,640,9142496,3.350532932966254
14,50,640,9142496,3.421523598731879
14,51,640,9142496,3.4859057973505636
14,52,640,9142496,3.5589614822827915
14,53,640,9142496,3.6229546906718944
14,54,640,9142496,3.6978983856874885
14,55,640,9142496,3.761895822585661
14,56,640,9142496,3.830489910842418
14,57,640,9142496,3.8997721341980043
14,58,640,9142496,3.9682624640651527
14,59,640,9142496,4.034964353897592
14,60,640,9142496,4.110981578579355
14,61,640,9142496,4.175581125699489
14,62,640,9142496,4.249125374417025
14,63,640,9142496,4.311340525218129
14,64,640,9142496,4.379889286149035
14,65,640,9142496,4.453916839257378
14,66,640,9142496,4.5157231783892415
14,67,640,9142496,4.590885601398167
14,68,640,9142496,4.652719422451104
14,69,640,9142496,4.72460365774647
14,70,640,9142496,4.79100483246806
14,71,640,9142496,4.866338814821923
14,72,640,9142496,4.9289523827318105
14,73,640,9142496,4.998416466812941
14,74,640,9142496,5.06977225507162
14,75,640,9142496,5.140297064952547
14,76,640,9142496,5.20594624804749
14,77,640,9142496,5.275673487190363
14,78,640,9142496,5.3408348913858115
14,79,640,9142496,5.4109945797412315
14,80,640,9142496,5.480983799914441
14,81,640,9142496,5.545668474584543
14,82,640,9142496,5.619844727453146
14,83,640,9142496,5.688282095722029
14,84,640,9142496,5.750123174416631
14,85,640,9142496,5.820682512754117
14,86,640,9142496,5.891784820000038
14,87,640,9142496,5.954313866686391
14,88,640,9142496,6.02219470147708
14,89,640,9142496,6.09107315240062
14,90,640,9142496,6.160511722813436
14,91,640,9142496,6.2324167437286855
14,92,640,9142496,6.297214132133401
14,93,640,9142496,6.366037024436694
14,94,640,9142496,6.439397981188358
14,95,640,9142496,6.5043700238381925
14,96,640,9142496,6.5779583104308
14,97,640,9142496,6.641618226691356
14,98,640,9142496,6.712134895160769
14,99,640,9142496,6.779960193974241
14,100,640,9142496,6.854148697988448
14,101,640,9142496,6.9197749882941935
14,102,640,9142496,6.983687702364427
14,103,640,9142496,7.0591930389972095
14,104,640,9142496,7.128404965707215
14,105,640,9142496,7.194021783669381
14,106,640,9142496,7.263055536469754
14,107,640,9142496,7.330008751670261
14,108,640,9142496,7.399008863551009
14,109,640,9142496,7.465440260822612
14,110,640,9142496,7.535399542158104
14,111,640,9142496,7.606201922576095
14,112,640,9142496,7.6758340541136025
14,113,640,9142496,7.738534170482444
14,114,640,9142496,7.813915642537128
14,115,640,9142496,7.879995314840676
14,116,640,9142496,7.950058734841602
14,117,640,9142496,8.01405060954842
14,118,640,9142496,8.08706912529162
14,119,640,9142496,8.154720837959264
14,120,640,9142496,8.21993162920678
14,121,640,9142496,8.286113009057614
14,122,640,9142496,8.358821649543069
14,123,640,9142496,8.426070203793103
14,124,640,9142496,8.498795111623078
14,125,640,9142496,8.56393964522916
14,126,640,9142496,8.634842188925385
14,127,640,9142496,8.695947574028835
14,128,640,9142496,8.767432979334318
14,129,640,9142496,8.839466613568229
14,130,640,9142496,8.909656039365041
14,131,640,9142496,8.973046666126406
14,132,640,9142496,9.039618915286857
14,133,640,9142496,9.110362934877424
14,134,640,9142496,9.180037620621219
14,135,640,9142496,9.244559606126192
14,136,640,9142496,9.314145074295965
