flops,data_num,img_size,model_param_num,total_data_inference_time
14,1,640,53193088,0.07340968123073646
14,2,640,53193088,0.15790913856908115
14,3,640,53193088,0.23645838394899285
14,4,640,53193088,0.3151102721858876
14,5,640,53193088,0.3902263577019707
14,6,640,53193088,0.4736552309133813
14,7,640,53193088,0.5522787841051197
14,8,640,53193088,0.625942179730654
14,9,640,53193088,0.7068281534258757
14,10,640,53193088,0.788461965262047
14,11,640,53193088,0.8679777170825381
14,12,640,53193088,0.9411391507905726
14,13,640,53193088,1.02174598616157
14,14,640,53193088,1.098329652875099
14,15,640,53193088,1.175851306703983
14,16,640,53193088,1.2628759090813966
14,17,640,53193088,1.338472732221821
14,18,640,53193088,1.4143120671733194
14,19,640,53193088,1.49622131021323
14,20,640,53193088,1.5715128717053735
14,21,640,53193088,1.6558371090731623
14,22,640,53193088,1.7332378241314097
14,23,640,53193088,1.81441711062586
14,24,640,53193088,1.890560505865836
14,25,640,53193088,1.9673913605122166
14,26,640,53193088,2.0506738064803116
14,27,640,53193088,2.131768053814806
14,28,640,53193088,2.211794161743939
14,29,640,53193088,2.28736135481878
14,30,640,53193088,2.364253297827121
14,31,640,53193088,2.444586986683188
14,32,640,53193088,2.5212432488235765
14,33,640,53193088,2.605811159551539
14,34,640,53193088,2.679667312505476
14,35,640,53193088,2.765731309202854
14,36,640,53193088,2.8381508449975157
14,37,640,53193088,2.9195673834308202
14,38,640,53193088,2.9971173721798654
14,39,640,53193088,3.0770877623170936
14,40,640,53193088,3.1536539882725605
14,41,640,53193088,3.233312499796543
14,42,640,53193088,3.3111441094133465
14,43,640,53193088,3.395005188529039
14,44,640,53193088,3.4701902746020705
14,45,640,53193088,3.5485921916812115
14,46,640,53193088,3.6320185853679408
14,47,640,53193088,3.705891467604312
14,48,640,53193088,3.790799656887131
14,49,640,53193088,3.8734466504710507
14,50,640,53193088,3.9435105454344654
14,51,640,53193088,4.02424271784361
14,52,640,53193088,4.1091168492626196
14,53,640,53193088,4.189916028114576
