flops,data_num,img_size,model_param_num,total_data_inference_time
14,1,640,25886080,0.06409482652336879
14,2,640,25886080,0.14042537775405978
14,3,640,25886080,0.20894684266448546
14,4,640,25886080,0.2801819877308837
14,5,640,25886080,0.3573365811028883
14,6,640,25886080,0.4266649206019849
14,7,640,25886080,0.4955951376861904
14,8,640,25886080,0.5657571079221885
14,9,640,25886080,0.6393409240100014
14,10,640,25886080,0.7111576578239925
14,11,640,25886080,0.7832729348706656
14,12,640,25886080,0.8490587337213406
14,13,640,25886080,0.9287739779217263
14,14,640,25886080,0.9967411408112212
14,15,640,25886080,1.0626847612230574
14,16,640,25886080,1.1347028565184472
14,17,640,25886080,1.2095357364554902
14,18,640,25886080,1.2828129459852324
14,19,640,25886080,1.3515970258039511
14,20,640,25886080,1.4267709379682543
14,21,640,25886080,1.4942698411450108
14,22,640,25886080,1.571309835609085
14,23,640,25886080,1.6367907491348048
14,24,640,25886080,1.7070324867881452
14,25,640,25886080,1.782856835589523
14,26,640,25886080,1.8525438098907063
14,27,640,25886080,1.9234746076405258
14,28,640,25886080,2.0011281846572357
14,29,640,25886080,2.067254013975868
14,30,640,25886080,2.1402088273942375
14,31,640,25886080,2.213521253143194
14,32,640,25886080,2.283656979643194
14,33,640,25886080,2.356815675403582
14,34,640,25886080,2.430269590781557
14,35,640,25886080,2.497237869792335
14,36,640,25886080,2.565789881360855
14,37,640,25886080,2.6424483570132957
14,38,640,25886080,2.7130746025860155
14,39,640,25886080,2.784899482355265
14,40,640,25886080,2.8510981059141787
14,41,640,25886080,2.9254037188580937
14,42,640,25886080,3.0014637284499464
14,43,640,25886080,3.0736055409647864
14,44,640,25886080,3.137590846246807
14,45,640,25886080,3.216191558224432
14,46,640,25886080,3.286947766367563
14,47,640,25886080,3.352634838706678
14,48,640,25886080,3.4252303334408896
14,49,640,25886080,3.4953866937588
14,50,640,25886080,3.575139837349451
14,51,640,25886080,3.6446966740093885
14,52,640,25886080,3.7089966849568667
14,53,640,25886080,3.783151003929229
14,54,640,25886080,3.857388244560807
14,55,640,25886080,3.930617900993304
14,56,640,25886080,4.004090845334982
14,57,640,25886080,4.071546713296279
14,58,640,25886080,4.138019786248535
14,59,640,25886080,4.212298987128636
14,60,640,25886080,4.284166328646491
14,61,640,25886080,4.3573905496467304
14,62,640,25886080,4.431073481290371
14,63,640,25886080,4.499918099085526
14,64,640,25886080,4.576467480450189
14,65,640,25886080,4.639888130738433
14,66,640,25886080,4.715265577043806
14,67,640,25886080,4.785004752842331
14,68,640,25886080,4.853168639738971
14,69,640,25886080,4.931976960123351
14,70,640,25886080,4.996416679462393
14,71,640,25886080,5.072904300798515
14,72,640,25886080,5.142863708962199
14,73,640,25886080,5.216014433923101
14,74,640,25886080,5.290929913020543
14,75,640,25886080,5.359840756873094
14,76,640,25886080,5.427533976061939
14,77,640,25886080,5.500339505991263
14,78,640,25886080,5.5696803867686775
14,79,640,25886080,5.644561007190042
14,80,640,25886080,5.7114240951330055
14,81,640,25886080,5.784603714900122
14,82,640,25886080,5.858938254916348
14,83,640,25886080,5.9269385088574715
14,84,640,25886080,5.9980401388083395
14,85,640,25886080,6.074658854007941
14,86,640,25886080,6.147146995660329
14,87,640,25886080,6.216020578722994
14,88,640,25886080,6.282696931694564
14,89,640,25886080,6.3556944148231835
